date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:18:48	2808/2808	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:18:42%20GMT	https://www.randomtriviagenerator.com/robots.txt		(from )
22:18:49	15873/15873	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202022%2003:18:43%20GMT	https://www.randomtriviagenerator.com/	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/index.html	(from )
22:18:50	812/812	---MC-	200	added ('OK')	text/css	date:Fri,%2002%20Dec%202022%2003:18:44%20GMT	https://fonts.googleapis.com/css?family=Roboto:300,400,500,700&display=swap	C:/Users/Ksenthil/Downloads/trivia/fonts.googleapis.com/css89ea.css	(from https://www.randomtriviagenerator.com/)
22:18:51	475/475	---MC-	200	added ('OK')	text/css	date:Fri,%2002%20Dec%202022%2003:18:44%20GMT	https://fonts.googleapis.com/icon?family=Material+Icons	C:/Users/Ksenthil/Downloads/trivia/fonts.googleapis.com/icone91f.css	(from https://www.randomtriviagenerator.com/)
22:18:53	168196/168196	---M--	200	added ('OK')	text/javascript	etag:1437152680464054131	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-6692682625678048	C:/Users/Ksenthil/Downloads/trivia/pagead2.googlesyndication.com/pagead/js/fa823.txt	(from https://www.randomtriviagenerator.com/)
22:18:54	207475/207475	---M-Z	200	added ('OK')	application/x-javascript	etag:%2240a37830fa8092026dc422924513aefa:1669589680.129796%22	https://cdn.fuseplatform.net/publift/tags/2/2919/fuse.js	C:/Users/Ksenthil/Downloads/trivia/cdn.fuseplatform.net/publift/tags/2/2919/fuse.js	(from https://www.randomtriviagenerator.com/)
22:18:56	488/488	---MCZ	200	added ('OK')	application/json	etag:W/%221e8-184c7ec2a5e%22	https://www.randomtriviagenerator.com/manifest.json	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/manifest.json	(from https://www.randomtriviagenerator.com/)
22:18:57	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:18:51%20GMT	https://fonts.gstatic.com/	C:/Users/Ksenthil/Downloads/trivia/fonts.gstatic.com/index.html	(from https://www.randomtriviagenerator.com/)
22:18:57	111584/111584	---MC-	200	added ('OK')	application/javascript	date:Fri,%2002%20Dec%202022%2003:00:00%20GMT	https://www.googletagmanager.com/gtag/js?id=UA-50915609-1	C:/Users/Ksenthil/Downloads/trivia/www.googletagmanager.com/gtag/js8f8d	(from https://www.randomtriviagenerator.com/)
22:18:57	222/222	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2019%20Nov%202022%2011:32:21%20GMT	https://cdn.polyfill.io/v2/polyfill.min.js	C:/Users/Ksenthil/Downloads/trivia/cdn.polyfill.io/v2/polyfill.min.js	(from https://www.randomtriviagenerator.com/)
22:18:58	14635/14635	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:18:52%20GMT	https://www.randomtriviagenerator.com/icons/touch-icon-iphone.png	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/icons/touch-icon-iphone.png	(from https://www.randomtriviagenerator.com/)
22:18:58	14635/14635	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:18:52%20GMT	https://www.randomtriviagenerator.com/icons/touch-icon-ipad.png	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/icons/touch-icon-ipad.png	(from https://www.randomtriviagenerator.com/)
22:18:58	14635/14635	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:18:52%20GMT	https://www.randomtriviagenerator.com/icons/touch-icon-iphone-retina.png	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/icons/touch-icon-iphone-retina.png	(from https://www.randomtriviagenerator.com/)
22:18:59	14635/14635	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:18:53%20GMT	https://www.randomtriviagenerator.com/icons/touch-icon-ipad-retina.png	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/icons/touch-icon-ipad-retina.png	(from https://www.randomtriviagenerator.com/)
22:18:59	14635/14635	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:18:53%20GMT	https://www.randomtriviagenerator.com/img/favicon.ico	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/img/favicon.ico	(from https://www.randomtriviagenerator.com/)
22:18:59	14635/14635	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2002%20Dec%202022%2003:18:53%20GMT	https://www.randomtriviagenerator.com/icons/safari-pinned-tab.svg	C:/Users/Ksenthil/Downloads/trivia/www.randomtriviagenerator.com/icons/safari-pinned-tab.svg	(from https://www.randomtriviagenerator.com/)
